State,Cases,Population,Party,Deaths,Pop.per.thou,Deaths.per.thou,Cases.per.thou,avg_change,party
AK,64447,731545,Republican,794,731,1,88,0.005327678,rep
AL,2084194,4903185,Republican,57897,4903,11,425,-0.028657458,rep
AR,1032646,3017804,Republican,14642,3017,4,342,0.123472361,rep
AZ,3756327,7278717,Republican,95462,7278,13,516,0.217439349,rep
CA,12948237,39512223,Democratic,378526,39512,9,327,0.073861273,dem
CO,2195941,5758736,Democratic,114600,5758,19,381,0.031648683,dem
CT,3322618,3565287,Democratic,304782,3565,85,932,0.062108856,dem
DC,700112,705749,Democratic,36905,705,52,993,0.024469366,dem
DE,767952,973764,Democratic,30728,973,31,789,0.050478192,dem
FL,8432034,21477737,Republican,223177,21477,10,392,0.176477314,rep
GA,4685010,10617423,Republican,174604,10617,16,441,0.079255313,rep
HI,61958,1415872,Democratic,1394,1415,0,43,0.002517249,dem
IA,1782190,3155070,Republican,43832,3155,13,564,0.09353281,rep
ID,371929,1787065,Republican,6722,1787,3,208,0.06140996,rep
IL,9604616,12671821,Democratic,452318,12671,35,757,0.050932716,dem
IN,3027167,6732219,Republican,175077,6732,26,449,0.047599271,rep
KS,929681,2913314,Republican,18443,2913,6,319,0.003925391,rep
KY,965898,4467673,Republican,38107,4467,8,216,0.033870096,rep
LA,3829366,4648794,Republican,227557,4648,48,823,0.137319872,rep
MA,7746452,6892503,Democratic,548611,6892,79,1123,-0.016431826,dem
MD,4364014,6045680,Democratic,206488,6045,34,721,0.104957335,dem
ME,198971,1344212,Democratic,7186,1344,5,148,0.012370225,dem
MI,9809344,9986857,Republican,883040,9986,88,982,-0.008565398,rep
MN,2129273,5639632,Democratic,88892,5639,15,377,0.040914654,dem
MO,1352696,6137428,Republican,65167,6137,10,220,-0.000680983,rep
MS,1578181,2976149,Republican,64791,2976,21,530,0.05475584,rep
MT,63618,1068778,Republican,1585,1068,1,59,0.024218889,rep
NC,3423564,10488084,Republican,82318,10488,7,326,0.106665617,rep
ND,226175,762062,Republican,5324,762,6,296,0.063996408,rep
NE,1188510,1934408,Republican,16054,1934,8,614,0.117355191,rep
NH,376633,1359711,Democratic,21617,1359,15,277,0.036565085,dem
NJ,12668034,8882190,Democratic,975239,8882,109,1426,0.083136692,dem
NM,736025,2096829,Democratic,30507,2096,14,351,0.080848577,dem
NV,1048752,3080156,Democratic,35042,3080,11,340,0.122192446,dem
NY,29793871,19453561,Democratic,2348310,19453,120,1531,0.064210115,dem
OH,3255020,11689100,Republican,180903,11689,15,278,0.060410213,rep
OK,780471,3956971,Republican,27201,3956,6,197,0.069037526,rep
OR,499037,4217737,Democratic,13756,4217,3,118,0.035418191,dem
PA,6276434,12801989,Republican,446468,12801,34,490,0.055095605,rep
RI,1173879,1059361,Democratic,58476,1059,55,1108,0.106873812,dem
SC,1849517,5148714,Republican,46703,5148,9,359,0.152774022,rep
SD,428954,884659,Republican,5436,884,6,485,0.077344013,rep
TN,2538871,6829174,Republican,35949,6829,5,371,0.11777713,rep
TX,8984470,28995881,Republican,158152,28995,5,309,0.132519707,rep
UT,1189553,3205958,Republican,10475,3205,3,371,0.114374389,rep
VA,3813351,8535519,Democratic,112334,8535,13,446,0.089328082,dem
VT,85550,623989,Democratic,4322,623,6,137,0.00943064,dem
WA,2178733,7614893,Democratic,93207,7614,12,286,0.055146658,dem
WI,1831801,5822434,Republican,49938,5822,8,314,0.083241247,rep
WV,189425,1792147,Republican,6290,1792,3,105,0.026969514,rep
WY,88813,578759,Republican,1238,578,2,153,0.034157967,rep
