state,date,fips,cases,deaths,party,change_cases,pct_change,state_pop,classification
AK,5/1/2020,2,362,7,rep,0,0,731545,Strong Republican
AK,6/5/2020,2,565,8,rep,203,4.24,731545,Strong Republican
AK,6/3/2020,2,516,8,rep,154,3.82,731545,Strong Republican
AK,6/4/2020,2,542,8,rep,180,5.04,731545,Strong Republican
AK,5/2/2020,2,363,7,rep,1,0.28,731545,Strong Republican
AK,6/6/2020,2,579,8,rep,217,2.48,731545,Strong Republican
AK,6/7/2020,2,588,8,rep,226,1.55,731545,Strong Republican
AK,6/8/2020,2,607,8,rep,245,3.23,731545,Strong Republican
AK,5/5/2020,2,369,7,rep,7,0.27,731545,Strong Republican
AK,5/6/2020,2,370,8,rep,8,0.27,731545,Strong Republican
AK,5/7/2020,2,373,8,rep,11,0.81,731545,Strong Republican
AK,5/8/2020,2,376,8,rep,14,0.8,731545,Strong Republican
AK,5/9/2020,2,377,8,rep,15,0.27,731545,Strong Republican
AK,5/10/2020,2,378,8,rep,16,0.27,731545,Strong Republican
AK,5/11/2020,2,380,8,rep,18,0.53,731545,Strong Republican
AK,5/12/2020,2,383,8,rep,21,0.79,731545,Strong Republican
AK,5/13/2020,2,383,8,rep,21,0,731545,Strong Republican
AK,5/14/2020,2,387,8,rep,25,1.04,731545,Strong Republican
AK,5/15/2020,2,388,8,rep,26,0.26,731545,Strong Republican
AK,5/16/2020,2,392,8,rep,30,1.03,731545,Strong Republican
AK,5/17/2020,2,396,8,rep,34,1.02,731545,Strong Republican
AK,5/18/2020,2,399,8,rep,37,0.76,731545,Strong Republican
AK,5/19/2020,2,399,8,rep,37,0,731545,Strong Republican
AK,5/20/2020,2,402,8,rep,40,0.75,731545,Strong Republican
AK,5/21/2020,2,402,8,rep,40,0,731545,Strong Republican
AK,5/22/2020,2,404,8,rep,42,0.5,731545,Strong Republican
AK,5/23/2020,2,409,8,rep,47,1.24,731545,Strong Republican
AK,5/24/2020,2,409,8,rep,47,0,731545,Strong Republican
AK,5/25/2020,2,412,8,rep,50,0.73,731545,Strong Republican
AK,5/26/2020,2,416,8,rep,54,0.97,731545,Strong Republican
AK,5/27/2020,2,417,8,rep,55,0.24,731545,Strong Republican
AK,5/28/2020,2,430,8,rep,68,3.12,731545,Strong Republican
AK,5/29/2020,2,436,8,rep,74,1.4,731545,Strong Republican
AK,5/30/2020,2,441,8,rep,79,1.15,731545,Strong Republican
AK,5/31/2020,2,469,8,rep,107,6.35,731545,Strong Republican
AK,6/1/2020,2,476,8,rep,114,1.49,731545,Strong Republican
AK,6/2/2020,2,497,8,rep,135,4.41,731545,Strong Republican
AK,7/11/2020,2,1656,15,rep,1294,4.88,731545,Strong Republican
AK,7/12/2020,2,1772,15,rep,1410,7,731545,Strong Republican
AK,7/13/2020,2,1843,15,rep,1481,4.01,731545,Strong Republican
AK,7/14/2020,2,1897,15,rep,1535,2.93,731545,Strong Republican
AK,7/15/2020,2,1958,15,rep,1596,3.22,731545,Strong Republican
AK,7/16/2020,2,2034,15,rep,1672,3.88,731545,Strong Republican
AK,7/17/2020,2,2083,15,rep,1721,2.41,731545,Strong Republican
AK,7/18/2020,2,2157,16,rep,1795,3.55,731545,Strong Republican
AK,6/9/2020,2,620,9,rep,258,2.14,731545,Strong Republican
AK,5/3/2020,2,366,7,rep,4,0.83,731545,Strong Republican
AK,5/4/2020,2,368,7,rep,6,0.55,731545,Strong Republican
AK,6/12/2020,2,688,10,rep,326,3.3,731545,Strong Republican
AK,6/13/2020,2,722,10,rep,360,4.94,731545,Strong Republican
AK,6/14/2020,2,734,10,rep,372,1.66,731545,Strong Republican
AK,6/15/2020,2,738,10,rep,376,0.54,731545,Strong Republican
AK,6/16/2020,2,751,10,rep,389,1.76,731545,Strong Republican
AK,6/17/2020,2,776,10,rep,414,3.33,731545,Strong Republican
AK,6/18/2020,2,795,10,rep,433,2.45,731545,Strong Republican
AK,6/19/2020,2,821,10,rep,459,3.27,731545,Strong Republican
