state,date,cases,deaths,hospitalized,tests,recovered,party,population,change_cases,pct_change
AL,5/1/20,7294,279,1008,91933,,rep,4903185,0,
AL,5/2/20,7611,288,1023,92209,,rep,4903185,317,4.346037839
AL,5/3/20,7888,290,1035,92500,,rep,4903185,594,3.639469189
AL,5/4/20,8112,298,1064,103117,,rep,4903185,818,2.839756592
AL,5/5/20,8437,315,1107,106766,,rep,4903185,1143,4.006410256
AL,5/6/20,8691,343,1158,109516,,rep,4903185,1397,3.010548773
AL,5/7/20,9046,369,1178,115173,,rep,4903185,1752,4.084685307
AL,5/8/20,9385,383,1207,120114,,rep,4903185,2091,3.747512713
AL,5/9/20,9668,390,1228,125494,,rep,4903185,2374,3.015450186
AL,5/10/20,9889,393,1240,127421,,rep,4903185,2595,2.285891601
AL,5/11/20,10164,403,1256,129444,,rep,4903185,2870,2.780867631
AL,5/12/20,10464,435,1287,133218,,rep,4903185,3170,2.951593861
AL,5/13/20,10700,450,1317,136372,,rep,4903185,3406,2.255351682
AL,5/14/20,11101,473,1350,141985,,rep,4903185,3807,3.747663551
AL,5/15/20,11373,483,1377,146063,,rep,4903185,4079,2.450229709
AL,5/16/20,11674,485,1387,153494,,rep,4903185,4380,2.646619186
AL,5/17/20,11771,488,1392,156350,,rep,4903185,4477,0.830906287
AL,5/18/20,12086,489,1416,157123,,rep,4903185,4792,2.676068303
AL,5/19/20,12376,504,1453,157566,,rep,4903185,5082,2.399470462
AL,5/20/20,13052,522,1493,164450,,rep,4903185,5758,5.462184874
AL,5/21/20,13414,529,1528,170739,,rep,4903185,6120,2.773521299
AL,5/22/20,13670,541,1561,177768,7951,rep,4903185,6376,1.908453854
AL,5/23/20,14149,549,1589,182676,7951,rep,4903185,6855,3.504023409
AL,5/24/20,14478,551,1612,185799,7951,rep,4903185,7184,2.325252668
AL,5/25/20,14986,566,1629,190315,7951,rep,4903185,7692,3.50877193
AL,5/26/20,15650,580,1671,193759,7951,rep,4903185,8356,4.430802082
AL,5/27/20,16032,583,1719,195794,7951,rep,4903185,8738,2.440894569
AL,5/28/20,16530,591,1765,200481,9355,rep,4903185,9236,3.106287425
